ticker,event_date,event_type,prev_close,open_1d,close_1d,gap_pct,cc_pct,o2c_1d_pct,sd60_gap,sd60_cc,z_gap,z_cc,gap_pctile,date_2d,open_2d,close_2d,o2c_2d_pct,close_1m,close_2m,fwd_1m_pct,fwd_2m_pct,news_same_day,news_prev_day,news_sources,news_titles_same_day,news_titles_prev_day,sector,industry,market_cap,turnover,turnover_fmt,pre_turnover_20d_median,market_cap_at_event,mcap_bucket,mcap_bucket_snapshot
CABA,2026-05-04,news_gap,2.94,3.18,3.83,8.1633,30.2721,20.4403,1.826,4.8104,4.4705,6.293,99.1863,2026-05-05,3.79,4.15,9.4987,,,,,True,False,8k|fmp_pr,[fmp_pr] Cabaletta Bio Announces Pricing of $150 Million Underwritten Offering || [8k] CABA: 8-K,,Healthcare,Biotechnology,349442691.0,111706929.0,112M,5753452.46,368695731.32,300M-1B,300M-1B
RXT,2026-02-18,news_gap,0.419,0.997,1.37,137.9475,226.969,37.4122,1.4989,4.1771,92.0311,54.3371,100.0,2026-02-19,1.26,1.23,-2.381,1.79,1.45,30.6569,5.8394,True,False,pr,[pr] Rackspace and Palantir Partner to Run Foundry and AIP in Production with Governed Managed Operations,,Technology,Software - Infrastructure,1577578393.0,743213393.36,743M,1411078.585,338272180.0,300M-1B,1B-10B
CATX,2026-02-02,news_gap,3.79,4.16,5.06,9.7625,33.5092,21.6346,1.8605,9.9831,5.2473,3.3566,98.7536,2026-02-03,5.0,5.2,4.0,5.27,4.41,4.1502,-12.8458,True,False,8k|pr,[pr] Perspective Therapeutics Announces Pricing of $175 Million Underwritten Offering of Common Stock and Pre-Funded Warrants || [8k] CATX: 8-K,,Healthcare,Medical - Devices,592353183.0,115776463.44,116M,2932312.195,390885000.0,300M-1B,300M-1B
ANRO,2025-10-20,news_gap,6.08,6.75,11.0,11.0197,80.9211,62.963,1.697,8.6781,6.4937,9.3248,99.7664,2025-10-21,10.84,10.85,0.0923,14.75,19.45,34.0909,76.8182,True,False,pr,[pr] Alto Neuroscience Announces $50 Million Private Placement Financing || [pr] Alto Neuroscience Announces Plans to Accelerate Development of ALTO-207 in Treatment Resistant Depression Following Successful Outcome from Recent FDA Meeting,,Healthcare,Biotechnology,786818084.0,195452400.0,195M,1579285.98,351400687.0,300M-1B,300M-1B
GSIT,2025-10-20,news_gap,5.08,7.5,12.97,47.6378,155.315,72.9333,1.4526,5.4006,32.7938,28.759,100.0,2025-10-21,15.68,10.86,-30.7398,7.34,5.62,-43.4079,-56.6692,True,False,pr,"[pr] Compute-In-Memory APU Achieves GPU-Class AI Performance at a Fraction of the Energy Cost || [pr] GSI Technology to Announce Fiscal Second Quarter 2026 Results on October 30, 2025",,Technology,Semiconductors,336733380.0,1502459067.0,1.5B,930554.64,378460306.93,300M-1B,300M-1B
ANAB,2025-09-30,news_gap,15.51,17.11,20.41,10.3159,31.5925,19.287,1.0408,3.7187,9.9117,8.4957,99.6788,2025-10-01,20.36,21.31,4.666,24.08,27.77,17.9814,36.0608,False,True,pr,,"[pr] Anaptys Announces Intent to Separate Biopharma Operations from Substantial Royalty Assets by Year-end 2026 || [pr] Anaptys to Provide Overview of ANB033, a CD122 antagonist, at Virtual Investor Event on Tuesday, Oct. 14",Healthcare,Biotechnology,2827965877.0,114754204.5,115M,11195364.0,880127837.03,300M-1B,1B-10B
FDMT,2025-08-01,news_gap,4.5,5.28,6.42,17.3333,42.6667,21.5909,1.2953,5.1311,13.3816,8.3152,99.8909,2025-08-04,6.01,5.24,-12.812,6.14,8.73,-4.3614,35.9813,False,True,pr,,[pr] 4DMT Presents Positive 60-Week Results from 4D-150 SPECTRA Clinical Trial in DME and Regulatory Update,Healthcare,Biotechnology,540520398.0,203355541.56,203M,1219622.69,335603574.0,300M-1B,300M-1B
PROK,2025-07-08,news_gap,0.6065,1.27,3.73,109.3982,515.0041,193.7008,3.1435,9.2378,34.8009,55.7495,100.0,2025-07-09,5.81,4.34,-25.3012,2.88,2.25,-22.7882,-39.6783,True,False,pr,[pr] ProKidney Reports Statistically and Clinically Significant Topline Results for the Phase 2 REGEN-007 Trial Evaluating Rilparencel in Patients with Chronic Kidney Disease and Diabetes,,Healthcare,Biotechnology,718994216.0,1280975996.0,1.3B,818752.16,475841426.44,300M-1B,300M-1B
NKTR,2025-06-24,news_gap,9.54,19.92,24.45,108.805,156.2893,22.741,3.6494,7.5743,29.8145,20.6341,100.0,2025-06-25,24.88,29.12,17.0418,24.58,27.03,0.5317,10.5521,True,True,pr,[pr] REZOLVE-AD Phase 2b Study of Rezpegaldesleukin Meets Primary and Key Secondary Endpoints in Patients with Moderate-to-Severe Atopic Dermatitis,"[pr] Nektar to Announce Top-line Data from the 16-Week Induction Period in REZOLVE-AD Phase 2b Study of Rezpegaldesleukin, a Regulatory T-cell Proliferator, in Atopic Dermatitis on June 24, 2025",Healthcare,Biotechnology,1934783774.0,908873297.4,909M,14069019.07,477775494.0,300M-1B,1B-10B
CRNC,2025-01-03,news_gap,7.93,10.79,19.33,36.0656,143.7579,79.1474,3.0194,15.0846,11.9444,9.5301,100.0,2025-01-06,23.63,20.18,-14.6001,13.1,10.31,-32.2297,-46.6632,True,True,pr,[pr] Cerence AI Expands Collaboration with NVIDIA to Advance its CaLLM Family of Language Models,"[pr] Cerence AI Signs Long-Term, Strategic Partnership to Build Luxury Automaker’s Next-Gen In-Car Experience",Technology,Software - Application,448989800.0,3127586268.0,3.1B,14041390.14,873136099.9999999,300M-1B,300M-1B
UMAC,2024-11-29,news_gap,9.89,14.25,18.73,44.0849,89.3832,31.4386,12.2007,14.1627,3.6133,6.3112,99.4975,2024-12-02,22.17,15.07,-32.0253,16.82,12.0,-10.1975,-35.9317,False,True,pr,,[pr] Donald Trump Jr. Joins Unusual Machines as an Advisor,Financial Services,Shell Companies,611466680.3717,1173088275.95,1.2B,542532.695,728324553.42,300M-1B,300M-1B
ACRS,2024-11-19,news_gap,3.14,3.71,4.59,18.1529,46.1783,23.7197,2.8869,8.6546,6.2879,5.3357,99.8656,2024-11-20,4.44,3.96,-10.8108,2.77,2.55,-39.6514,-44.4444,False,True,pr,,"[pr] Biosion Announces Exclusive, Global License Agreement with Aclaris Therapeutics on two potential First-in-Class and Best-in-Class Immunology Assets || [pr] Aclaris Therapeutics Announces $80 Million Private Placement || [pr] Aclaris Therapeutics Announces Exclusive, Global License Agreement with Biosion, Inc., adding Potential Best-in-Class Biologics Assets to Pipeline",Healthcare,Medical - Diagnostics & Research,588503600.0,258810822.0,259M,2495374.005,553531050.0,300M-1B,300M-1B
QUBT,2024-11-14,news_gap,2.66,3.67,4.4,37.9699,65.4135,19.891,2.6407,13.6543,14.3787,4.7907,97.6139,2024-11-15,2.93,3.1,5.802,11.08,9.83,151.8182,123.4091,True,True,pr,"[pr] Quantum Computing, Inc. Announces Registered Direct Offering of $40 Million Priced At-The-Market Under Nasdaq Rules","[pr] Quantum Computing, Inc. Secures First Order For TFLN Photonic Chip Foundry",Technology,Computer Hardware,1713226902.0,1023525426.0,1.0B,3695249.0,600600000.0,300M-1B,1B-10B
GLUE,2024-10-28,news_gap,4.89,6.39,9.48,30.6748,93.865,48.3568,1.9791,6.6679,15.4993,14.0771,100.0,2024-10-29,9.34,9.37,0.3212,8.6,7.06,-9.2827,-25.5274,True,False,pr,[pr] Monte Rosa Therapeutics Announces Global License Agreement with Novartis to Advance T and B Cell-modulating VAV1-directed Molecular Glue Degraders,,Healthcare,Biotechnology,1346447125.0,901796622.48,902M,974830.0,617364456.84,300M-1B,1B-10B
CTMX,2024-05-01,news_gap,1.63,3.25,5.13,99.3865,214.7239,57.8462,3.1371,6.3686,31.6811,33.7159,100.0,2024-05-02,4.4,4.5,2.2727,1.7,1.32,-66.8616,-74.269,True,False,pr,"[pr] CytomX Therapeutics to Report First Quarter 2024 Results and Provide an Initial CX-904 Phase 1a Clinical Data Update on May 8, 2024",,Healthcare,Biotechnology,852260069.0,1060475564.79,1.1B,597315.13,825024703.77,300M-1B,300M-1B
WGS,2024-04-30,news_gap,11.0,14.28,17.07,29.8182,55.1818,19.5378,1.8629,7.8481,16.0067,7.0313,99.8855,2024-05-01,17.04,20.92,22.77,20.39,28.69,19.4493,68.0726,False,True,pr,,[pr] GeneDx Reports First Quarter 2024 Financial Results and Business Highlights,Healthcare,Medical - Healthcare Information Services,2334610000.0,124371985.86,124M,1617377.315,506774160.0,300M-1B,1B-10B
CCCC,2023-12-13,news_gap,2.34,3.18,5.51,35.8974,135.4701,73.2704,7.2821,14.4166,4.9296,9.3968,99.8035,2023-12-14,5.19,5.01,-3.4682,6.85,7.31,24.3194,32.6679,False,True,pr,,[pr] C4 Therapeutics Announces Positive Data from CFT7455 Phase 1 Trial in Relapsed/Refractory Multiple Myeloma || [pr] C4 Therapeutics Announces License and Research Collaboration with Merck to Discover and Develop Degrader-Antibody Conjugates (DACs),Healthcare,Biotechnology,350305625.0,1244412958.72,1.2B,483104.9,456377805.88,300M-1B,300M-1B
AAOI,2023-08-04,news_gap,6.59,8.37,11.01,27.0106,67.0713,31.5412,2.9949,9.0261,9.0187,7.4308,100.0,2023-08-07,11.07,12.38,11.8338,12.95,8.91,17.6203,-19.0736,False,True,pr,,[pr] Applied Optoelectronics Reports Second Quarter 2023 Results,Technology,Semiconductors,15108108171.0,349796166.69,350M,27741016.915,883472864.67,300M-1B,10B-100B
OMER,2023-02-06,news_gap,3.09,4.1,4.98,32.6861,61.165,21.4634,2.5731,6.6244,12.7031,9.2333,100.0,2023-02-07,4.8,5.13,6.875,3.77,4.79,-24.2972,-3.8153,True,False,pr,[pr] Omeros Corporation Receives $200 Million Milestone Payment from Rayner Surgical,,Healthcare,Biotechnology,1062663912.0,135983880.0,136M,850655.0,358541076.00000006,300M-1B,1B-10B
NRGV,2023-01-18,news_gap,3.56,4.06,4.8,14.0449,34.8315,18.2266,1.8269,8.4829,7.6879,4.1061,99.6441,2023-01-19,4.71,4.35,-7.6433,3.6,2.1,-25.0,-56.25,True,False,pr,[pr] Energy Vault Updates Fourth Quarter and Full Year 2022 Expected Revenue Results,,Utilities,Renewable Utilities,926460104.0,111866155.2,112M,2919156.265,830280000.0,300M-1B,300M-1B
SLNO,2022-12-19,news_gap,4.54,5.55,9.25,22.2467,103.7445,66.6667,3.5573,4.562,6.2539,22.741,99.41,2022-12-20,7.5,7.35,-2.0,12.35,9.4,33.5135,1.6216,True,False,pr,[pr] Soleno Therapeutics Announces Financing Commitment for up to $60 Million,,Healthcare,Biotechnology,2758716893.0,194687710.0,195M,38028.0,482110925.0,300M-1B,1B-10B
TSHA,2022-10-25,news_gap,1.51,2.2,2.98,45.6954,97.351,35.4545,1.7803,5.8884,25.6673,16.5326,100.0,2022-10-26,2.52,2.16,-14.2857,2.34,2.08,-21.4765,-30.2013,True,True,pr,[pr] Taysha Gene Therapies Announces Proposed Public Offering of Common Stock,[pr] Taysha Gene Therapies to Host Conference Call to Discuss Astellas Pharma’s Strategic Investment to Support the Development of Taysha’s AAV-based Gene Therapy Programs,Healthcare,Biotechnology,1714048326.0,276662934.78,277M,205269.68,856279160.0,300M-1B,1B-10B
INBX,2022-10-04,news_gap,20.18,25.08,29.76,24.2815,47.4727,18.6603,1.8235,5.9294,13.3156,8.0064,100.0,2022-10-05,28.98,32.02,10.49,32.04,32.5,7.6613,9.207,True,True,pr,[pr] Inhibrx Announces Opportunity for Accelerated Approval Pathway on Functional AAT Serum Levels for INBRX-101 in AATD and Announces Bronchoalveolar Lavage Fluid Detection Results from the Phase 1 Study,"[pr] Inhibrx To Host Webcast to Announce Regulatory Pathway for INBRX-101, its Optimized Recombinant Human AAT-Fc Protein for the Treatment of Alpha-1 Antitrypsin Deficiency",Healthcare,Biotechnology,1587081624.0,223359245.76,223M,8380508.955,434712831.36,300M-1B,1B-10B
PEPG,2022-09-28,news_gap,5.2,6.08,10.93,16.9231,110.1923,79.7697,2.2488,5.5618,7.5255,19.8125,100.0,2022-09-29,9.02,8.36,-7.3171,10.01,14.58,-8.4172,33.3943,True,False,pr,[pr] PepGen Reports Positive Data from Phase 1 Trial of PGN-EDO51 for the Treatment of Duchenne Muscular Dystrophy,,Healthcare,Biotechnology,384972165.0,109180863.0,109M,284805.0,755430174.35,300M-1B,300M-1B
